,Fundo,Emissão,Preço,DatadeEncerramento,CaptaçãoFinal,ResultadodoRateio,TipodeOferta,DatadeConversão,LiberaçãodoLockup,YouTube,Database,PeríododeNegociação,PeríododePreferência,PeríododeSobras,PeríodoPúblico,ProporçãodePreferência,ProporçãodeSobras,InvestimentoMínimo,CaptaçãoMínima,CaptaçãoMáxima,CoordenadorLíder,MétododeRateio,Observações,Documentação,PreçoTotalM
164,LUGG11,1ª,"R$ 100,00",,,,Oferta Pública (ICVM 400),,Não há,,Não há,Não há,Não há,Não há,05.11 até 29.11.19Liquidação: 09.12.19,Não há,Não há,Não há,"R$ 62.700.000,00","R$ 90.000.000,00",,,,,"R$ 100,00 (Cota de R$ 95,27 + Taxa de R$ 4,73)"
165,LVBI11,2ª,"R$ 106,48",,,,Oferta Pública (ICVM 400),,Não há,,31.07.19,06.08 até 12.08.19,06.08 até 19.08.19Liquidação: 20.08.19,Não há,06.08 até 22.08.19Liquidação: 28.08.19,"1,2397 (123,97%)",Não há,"R$ 10.648,00 ( cotas)",,,,,,,"R$ 106,48"
166,LVBI11,3ª,"R$ 118,00",,,,Oferta Pública (ICVM 400),14.10.20,Não há,,26.08.20,02.09 até 11.09.20,02.09 até 15.09.20Liquidação: 16.09.20,Não há,02.09 até 17.09.20Liquidação: 23.09.20,"0,5621 (56,21%)",Não há,"R$ 25.016,00 (212 cotas)","R$ 250.000.110,00","R$ 599.999.980,80 (R$ 499.999.984,00 + Lote Adicional de R$ 99.999.996,80)",XP Investimentos,Igualitário (Linear),,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=119798&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 118,00 (Cota de R$ 113,52 + Taxa de R$ 4,48)"
167,MALL11,3ª,"R$ 101,50",,,,Oferta Pública (ICVM 400),,Não há,,23.08.19,30.08 até 09.09.19,30.08 até 13.09.19Liquidação: 17.09.19,Não há,30.08 até 24.09.19Liquidação: 30.09.19,"1,556 (155,6%)",Não há,"R$ 5.075,00 ( cotas)",,,,,,,"R$ 101,50"
168,MCCI11,2ª,"R$ 103,57",,,,Oferta Pública (ICVM 400),,Não há,,Não há,Não há,Não há,Não há,10.10 até 18.11.19Liquidação: 25.11.19,Não há,Não há,"R$ 25.000,00 ( cotas)","R$ 30.000.000,00","R$ 546.200.000,00 (R$ 500.000.000,00 + Lote Adicional de R$ 46.200.000,00)",,,,,"R$ 103,57 (Cota de R$ 100,00 + Taxa de R$ 3,57)"
169,MCCI11,3ª,"R$ 103,41",,,,Oferta Restrita (ICVM 476),01.04.20,,,31.01.20,07.02 até 19.02.20,07.02 até 19.02.20Liquidação: 20.02.20,26.02 até 03.03.20Liquidação: 06.03.20,Não há,"0,6407 (64,07%)",,Não há,"R$ 30.000.000,00","R$ 420.000.000,00 (R$ 350.000.000,00 + Lote Adicional de R$ 70.000.000,00)",BTG Pactual,Não há,,,"R$ 103,41 (Cota de R$ 100,00 + Taxa de R$ 3,41)"
170,MCCI11,4ª,"R$ 100,00",30.11.20,"R$ 163.193.669,52",,Oferta Pública (ICVM 400),15.12.20,Não há,,23.10.20,27.10 até 05.11.20,27.10 até 09.11.20Liquidação: 10.11.20,Não há,27.10 até 23.11.20Liquidação: 27.11.20,"0,419 (41,9%)",Não há,"R$ 26.000,00 (260 cotas)","R$ 30.000.056,84","R$ 351.265.622,08 (R$ 292.721.416,08 + Lote Adicional de R$ 58.544.206,00)",XP Investimentos,Igualitário (Linear),Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=117898&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=117899&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=122540&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=122539&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=123066&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=129561&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=131520&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início das Negociações</a></td>","R$ 100,00 (Cota de R$ 96,52 + Taxa de R$ 3,48)"
171,MCCI11,5ª,"R$ 100,29",01.09.21,"R$ 350.000.065,20",,Oferta Pública (ICVM 400),16.09.21,Não há,,06.08.21,10.08 até 18.08.21,10.08 até 20.08.21Liquidação: 23.08.21,Não há,10.08 até 25.08.21Liquidação: 31.08.21,"0,39205139323 (39,21%)",Não há,"R$ 10.029,00 (100 cotas)","R$ 29.999.948,28","R$ 420.000.078,24 (R$ 350.000.065,20 + Lote Adicional de R$ 70.000.013,04)",XP Investimentos,Igualitário,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199530&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199672&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199673&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href='”https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=200927&amp;cvm=true""' rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=210816&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=213630&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 100,29 (Cota de R$ 100,29 + Taxa de R$ 0,00)"
172,MCHF11,1ª,"R$ 10,00",02.07.21,"R$ 83.076.460,00",,Oferta Pública (ICVM 400),06.07.21,Não há,,Não há,Não há,Não há,Não há,07.06 até 25.06.21Liquidação: 01.07.21,Não há,Não há,"R$ 10.000,00 (1000 cotas)","R$ 30.000.000,00","R$ 300.000.000,00 (R$ 250.000.000,00 + Lote Adicional de R$ 50.000.000,00)",XP Investimentos,Igualitário (Linear),Aguardando o Prospecto Definitivo para confirmação das informações.,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179708&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179709&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Preliminar</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188970&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188973&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""http://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=190803&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""http://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=190811&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a> </td>","R$ 10,00 (Cota de R$ 10,00 + Taxa de R$ 0,00)"
173,MFAI11,2ª,"R$ 104,50",04.01.21,"R$ 27.517.300,00",,Oferta Pública (ICVM 400),13.01.21,Não há,,Não há,Não há,Não há,Não há,08.07 até 15.12.20Liquidação: 18.12.20,Não há,Não há,"R$ 1.045,00 (10 cotas)","R$ 1.000.000,00","R$ 240.000.000,00 (R$ 200.000.000,00 + Lote Adicional de R$ 40.000.000,00)",Planner,Igualitário (Linear),¹ A Oferta Pública será dividida em vários períodos:1º Período: 08.07 → 30.07.202º Período: 05.08 → 27.08.203º Período: 02.09 → 01.10.204ª Período: 07.10 → 05.11.205º Período: 11.11 → 15.12.20² Haverá uma data de liquidação para cada período:1º Período: 04.08.202º Período: 01.09.203º Período: 06.10.204ª Período: 10.11.205º Período: 18.12.20,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=104530&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=104526&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://ticker11.com.br/wp-content/uploads/2020/08/2-Emissao_Material-Publicitario_MeritoFII_20200721.pdf"" rel=""noopener noreferrer"" target=""_blank"">Material Publicitário</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=136563&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 104,50 (Cota de R$ 100,00 + Taxa de R$ 4,50)"
174,MFII11,6ª,"R$ 118,00",18.01.21,"R$ 85.949.505,00",,Oferta Restrita (ICVM 476),05.02.21,,,27.11.20,Não há,04.12 até 16.12.20Liquidação: 17.12.20,22.12 até 08.01.21Liquidação: 15.01.21,Não há,"0,29864265869313 (29,86%)","0,943632633 (94,36%)",Não há,"R$ 1.150.000,00","R$ 85.949.505,00",,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128612&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128611&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=143440&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 118,00 (Cota de R$ 115,00 + Taxa de R$ 3,00)"
175,MFII11,7ª,"R$ 118,00",10.05.21,"R$ 104.650.000,00",,Oferta Restrita (ICVM 476),14.05.21,08.08.21,,01.03.21,Não há,08.03 até 18.03.21Liquidação: 19.03.21,24.03 até 08.04.21Liquidação: 15.04.21,Não há,"0,5384615385 (53,85%)","3,6077118442 (360,77%)",Não há,"R$ 1.150.000,00","R$ 201.250.000,00",,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=151945&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=151946&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=157436&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172494&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172487&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 118,00 (Cota de R$ 115,00 + Taxa de R$ 3,00)"
176,MGCR11,1ª,"R$ 100,00",07.10.20,"R$ 70.822.100,00",,Oferta Pública (ICVM 400),03.11.20,Não há,,Não há,Não há,Não há,Não há,02.09 até 30.09.20Liquidação: 06.10.20,Não há,Não há,"R$ 1.000,00 (10 cotas)","R$ 50.000.000,00","R$ 144.000.000,00 (R$ 120.000.000,00 + Lote Adicional de R$ 24.000.000,00)",Genial Investimentos,Proporcional,,,"R$ 100,00 (Cota de R$ 95,86 + Taxa de R$ 4,14)"
177,MGCR11,2ª,"R$ 100,00",,"R$ 1.170.400,00",,Oferta Restrita (ICVM 476),08.04.21,,,24.11.20,Não há,27.11 até 14.12.20Liquidação: 15.12.20,17.12 até 28.12.20Liquidação: 06.01.21,Não há,"0,70599431533 (70,6%)","433,026041667 (43302,6%)",Não há,"R$ 1.000.000,00","R$ 60.000.000,00 (R$ 50.000.000,00 + Lote Adicional de R$ 10.000.000,00)",Genial Investimentos,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128106&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128109&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128369&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=161037&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 100,00 (Cota de R$ 100,00 + Taxa de R$ 0,00)"
178,MGCR11,3ª,"R$ 100,00",03.05.21,"R$ 70.237.900,00",,Oferta Pública (ICVM 400),20.05.21,Não há,,24.03.21,31.03 até 13.04.21,31.03 até 15.04.21Liquidação: 16.04.21,Não há,31.03 até 23.04.21Liquidação: 30.04.21,"2,77806715977 (277,81%)",Não há,"R$ 1.000,00 (10 cotas)","R$ 20.000.000,00","R$ 240.000.000,00 (R$ 200.000.000,00 + Lote Adicional de R$ 40.000.000,00)",Genial Investimentos,Proporcional,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=157807&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=157808&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=157705&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=170291&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Encerramento da Oferta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=176176&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 100,00 (Cota de R$ 95,79 + Taxa de R$ 4,21)"
179,MGFF11,3ª,"R$ 97,00",,,,Oferta Restrita (ICVM 476),,,,18.07.19,24.07 até 08.08.19,24.07 até 08.08.19Liquidação: 12.08.19,13.08 até 19.08.19Liquidação: 21.08.19,Não há,"0,5648 (56,48%)",,Não há,,,,Não há,,,"R$ 97,00"
180,MGFF11,4ª,"R$ 101,00",,,,Oferta Pública (ICVM 400),,,,29.11.19,06.12 até 12.12.19,06.12 até 18.12.19Liquidação: 19.12.19,Não há,06.12 até 20.12.19Liquidação: 27.12.19,"0,6934 (69,34%)",Não há,"R$ 2.929,00 ( cotas)","R$ 49.999.949,00","R$ 360.000.057,00 (R$ 300.000.098,00 + Lote Adicional de R$ 59.999.959,00)",,,,,"R$ 101,00"
181,MGFF11,5ª,"R$ 86,94",,,,Oferta Restrita (ICVM 476),10.07.20,10.07.20,,22.04.20,Não há,29.04 até 12.05.20Liquidação: 14.05.20,18.05 até 27.05.20Liquidação: 03.06.20,Não há,"0,1072 (10,72%)",,Não há,"R$ 25.000.031,72","R$ 100.000.126,88 (R$ 70.000.055,56 + Lote Adicional de R$ 30.000.071,32)",Banco Safra,Não há,,,"R$ 86,94 (Cota de R$ 83,94 + Taxa de R$ 3,00)"
182,MGHT11,2ª,"R$ 100,00",,"R$ 21.487.200,00",,Oferta Restrita (ICVM 476),17.03.21,06.05.21,,26.11.20,Não há,01.12 até 14.12.20Liquidação: 15.12.20,17.12 até 23.12.20Liquidação: 05.01.21,Não há,"1,2001977926 (120,02%)","7351,625 (735162,5%)",Não há,"R$ 1.000.000,00","R$ 120.000.000,00 (R$ 100.000.000,00 + Lote Adicional de R$ 20.000.000,00)",Genial Investimentos,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=128274&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=128273&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128328&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informaçòes sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=151902&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Formulário de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=154705&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 100,00 (Cota de R$ 100,00 + Taxa de R$ 0,00)"
183,MGHT11,3ª,"R$ 95,00",17.09.21,"R$ 25.243.020,00",,Oferta Restrita (ICVM 476),Pendente,,,20.07.21,Não há,21.07 até 03.08.21Liquidação: 05.08.21,06.08 até 11.08.21Liquidação: 18.08.21,Não há,"1,004354679 (100,44%)","41,82479554 (4182,48%)","R$ 950,00 (10 cotas)","R$ 3.000.005,00","R$ 100.000.040,00",Banco Andbank (Brasil) S.A.,,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=192378&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=192379&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196358&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=200665&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=216336&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=217520&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a></td>","R$ 95,00 (Cota de R$ 95,00 + Taxa de R$ 0,00)"
184,MGLG11,1ª,"R$ 100,00",02.08.21,"R$ 49.970.900,00",,Oferta Pública (ICVM 400),18.08.21,Não há,,Não há,Não há,Não há,Não há,02.07 até 23.07.21Liquidação: 30.07.21,Não há,Não há,"R$ 100,00 (1 cotas)","R$ 30.000.000,00","R$ 240.000.000,00 (R$ 200.000.000,00 + Lote Adicional de R$ 40.000.000,00)",Genial Investimentos,Proporcional,Aguardando a divulgação dos documentos da oferta para confirmação das informações.,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=174231&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=183100&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Preliminar</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197400&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197856&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199434&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=204432&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 100,00 (Cota de R$ 95,74 + Taxa de R$ 4,26)"
185,MGLG11,2ª,"R$ 104,26",02.08.21,"R$ 49.970.900,00",,Oferta Pública (ICVM 400),23.09.21,Não há,,Não há,Não há,Não há,Não há,02.07 até 23.07.21Liquidação: 30.07.21,Não há,Não há,Não há,"R$ 30.000.000,00","R$ 240.000.000,00 (R$ 200.000.000,00 + Lote Adicional de R$ 40.000.000,00)",Genial Investimentos,Proporcional,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179632&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ata da Assembleia</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188535&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188536&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Preliminar</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197400&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197856&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199434&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=216877&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a> </td>","R$ 104,26 (Cota de R$ 100,00 + Taxa de R$ 4,26)"
186,MINT11,1ª,"R$ 100,00",,"R$ 52.000.000,00",,Oferta Restrita (ICVM 476),,"20.05.20, 21.11.20 e 04.12.20",,Não há,Não há,Não há,Não há,Não há,Não há,Não há,Não há,,"R$ 52.000.000,00",Genial Investimentos,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=126505&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Liberação de Lock-up</a></td>","R$ 100,00"
187,MORE11,2ª,"R$ 103,95",27.01.21,"R$ 173.006.718,10",,Oferta Pública (ICVM 400),24.02.21,Não há,,11.12.20,16.12 até 28.12.20,16.12 até 30.12.20Liquidação: 04.01.21,Não há,16.12 até 15.01.21Liquidação: 20.01.21,"2,476801 (247,68%)",Não há,"R$ 1.351,35 (13 cotas)","R$ 47.928.083,10","R$ 173.006.718,10 (R$ 144.172.281,70 + Lote Adicional de R$ 28.834.436,40)",Genial Investimentos,Proporcional,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=130878&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://ticker11.com.br/wp-content/uploads/2020/12/More11-Material-Publicitario-2o-Emissao.pdf"" rel=""noopener noreferrer"" target=""_blank"">Material Publicitário</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=131583&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=149830&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 103,95 (Cota de R$ 99,70 + Taxa de R$ 4,25)"
188,MXRF11,3ª,,,,,Oferta Restrita (ICVM 476),16.05.19,,,,,,,Não há,,,Não há,"R$ 10.000.005,12","R$ 0,00",XP Investimentos,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=44148&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aprovação da Oferta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=48073&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão das Cotas</a></td>",
189,MXRF11,4ª,"R$ 10,89",17.12.19,"R$ 359.999.981,55",,Oferta Pública (ICVM 400),06.01.20,Não há,,08.11.19,14.11 até 22.11.19,14.11 até 28.11.19Liquidação: 29.11.19,Não há,15.01 até 10.12.19Liquidação: 16.12.19,"0,6892 (68,92%)",Não há,"R$ 25.003,50 ( cotas)","R$ 10.000.007,40","R$ 359.999.981,55 (R$ 299.999.989,90 + Lote Adicional de R$ 59.999.991,65)",,,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=72341&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=74350&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão das Cotas</a></td>","R$ 10,89 (Cota de R$ 10,55 + Taxa de R$ 0,34)"
190,MXRF11,5ª,"R$ 11,00",11.03.20,"R$ 505.573.376,85",Não houve,Oferta Pública (ICVM 400),03.04.20,Não há,,23.01.20,10.02 até 18.02.20,10.02 até 20.02.20Liquidação: 21.02.20,26.02 até 02.03.20Liquidação: 03.03.20,26.02 até 04.03.20Liquidação: 10.03.20,"0,6239 (62,39%)","0,68054223846 (68,05%)","R$ 45.007,42 ( cotas)","R$ 10.000.002,42","R$ 599.999.985,75 (R$ 499.999.993,44 + Lote Adicional de R$ 99.999.992,31)",XP Investimentos,Ordem de Chegada,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=85197&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=89118"" rel=""noopener noreferrer"" target=""_blank"">Conversão de Recibos</a></td>","R$ 11,00 (Cota de R$ 10,63 + Taxa de R$ 0,37)"
